CategoryID	CategoryCode	ParentCategoryCode	CategoryName	CategoryOKPD2	AttributeID	AttributeName	AttributeType								
5717	1147006	1147000	Щетки жгутовые дисковые без хвостовика	25.11.23.119	233382	Дополнительная информация	Строковый								
5717	1147006	1147000	Щетки жгутовые дисковые без хвостовика	25.11.23.119	253171	Артикул	Строковый								
5720	1147007	1147000	Прокладки для электродвигателей	25.11.23.119	219673	Размеры	Строковый								
5720	1147007	1147000	Прокладки для электродвигателей	25.11.23.119	219672	Марка стали	Строковый								
5720	1147007	1147000	Прокладки для электродвигателей	25.11.23.119	219671	Дополнительная информация	Строковый								
5707	1147009	1147000	Люки канализационные	25.11.23.119	223313	Тип	Строковый								
5707	1147009	1147000	Люки канализационные	25.11.23.119	223312	Материал	Строковый								
5707	1147009	1147000	Люки канализационные	25.11.23.119	223311	Обозначение	Строковый								
5707	1147009	1147000	Люки канализационные	25.11.23.119	232614	Размеры	Строковый								
5707	1147009	1147000	Люки канализационные	25.11.23.119	232612	Нагрузка	Строковый								
5707	1147009	1147000	Люки канализационные	25.11.23.119	232613	Вес	Числовой								
5707	1147009	1147000	Люки канализационные	25.11.23.119	305440	Цвет	Строковый								
5707	1147009	1147000	Люки канализационные	25.11.23.119	305441	Комплектация	Строковый								
5707	1147009	1147000	Люки канализационные	25.11.23.119	232611	Стандарт	Строковый								
5707	1147009	1147000	Люки канализационные	25.11.23.119	306082	ТУ	Строковый								
5707	1147009	1147000	Люки канализационные	25.11.23.119	306081	Производитель	Строковый								
5707	1147009	1147000	Люки канализационные	25.11.23.119	306080	Страна производителя	Строковый								
5707	1147009	1147000	Люки канализационные	25.11.23.119	306079	ОГРН	Строковый								
5711	1147010	1147000	Кронштейны крепежные	25.11.23.119	225711	Тип	Строковый								
5711	1147010	1147000	Кронштейны крепежные	25.11.23.119	225710	Назначение	Строковый								
5711	1147010	1147000	Кронштейны крепежные	25.11.23.119	225709	Обозначение	Строковый								
5711	1147010	1147000	Кронштейны крепежные	25.11.23.119	251271	Размер	Строковый								
5711	1147010	1147000	Кронштейны крепежные	25.11.23.119	279087	Материал	Строковый								
5711	1147010	1147000	Кронштейны крепежные	25.11.23.119	309650	Цвет	Строковый								
5711	1147010	1147000	Кронштейны крепежные	25.11.23.119	279085	Артикул	Строковый								
5711	1147010	1147000	Кронштейны крепежные	25.11.23.119	225708	Описание	Строковый								
5711	1147010	1147000	Кронштейны крепежные	25.11.23.119	279086	Производитель	Строковый								
5711	1147010	1147000	Кронштейны крепежные	25.11.23.119	279084	Стандарт	Строковый								
53678	1146881	1146880	Опоры тавровые (приварные и хомутовые)	25.11.23.119	2995	Тип	Строковый								
53678	1146881	1146880	Опоры тавровые (приварные и хомутовые)	25.11.23.119	2996	Обозначение	Строковый								
53678	1146881	1146880	Опоры тавровые (приварные и хомутовые)	25.11.23.119	2997	Применение	Строковый								
53680	1146882	1146880	Опоры корпусные (приварные и хомутовые)	25.11.23.119	2998	Тип	Строковый								
53680	1146882	1146880	Опоры корпусные (приварные и хомутовые)	25.11.23.119	2999	Обозначение	Строковый								
53680	1146882	1146880	Опоры корпусные (приварные и хомутовые)	25.11.23.119	246803	Материал	Строковый								
53680	1146882	1146880	Опоры корпусные (приварные и хомутовые)	25.11.23.119	3000	Применение	Строковый								
53680	1146882	1146880	Опоры корпусные (приварные и хомутовые)	25.11.23.119	246804	Стандарт	Строковый								
53680	1146882	1146880	Опоры корпусные (приварные и хомутовые)	25.11.23.119	281587	ТУ	Строковый								
53677	1146883	1146880	Опоры трубчатые (приварные и крутоизогнутых отводов)	25.11.23.119	3001	Тип	Строковый								
53677	1146883	1146880	Опоры трубчатые (приварные и крутоизогнутых отводов)	25.11.23.119	3002	Обозначение	Строковый								
53677	1146883	1146880	Опоры трубчатые (приварные и крутоизогнутых отводов)	25.11.23.119	3003	Применение	Строковый								
53676	1146884	1146880	Опоры швеллерные приварные	25.11.23.119	3004	Тип	Строковый								
53676	1146884	1146880	Опоры швеллерные приварные	25.11.23.119	3005	Обозначение	Строковый								
53676	1146884	1146880	Опоры швеллерные приварные	25.11.23.119	3006	Применение	Строковый								
53675	1146885	1146880	Опоры уголковые приварные	25.11.23.119	3007	Тип	Строковый								
53675	1146885	1146880	Опоры уголковые приварные	25.11.23.119	3008	Обозначение	Строковый								
53675	1146885	1146880	Опоры уголковые приварные	25.11.23.119	3009	Применение	Строковый								
53683	1146886	1146880	Опоры хомутовые бескорпусные	25.11.23.119	3010	Тип	Строковый								
53683	1146886	1146880	Опоры хомутовые бескорпусные	25.11.23.119	3011	Обозначение	Строковый								
53683	1146886	1146880	Опоры хомутовые бескорпусные	25.11.23.119	270187	Размер	Строковый								
53683	1146886	1146880	Опоры хомутовые бескорпусные	25.11.23.119	281586	Материал	Строковый								
53683	1146886	1146880	Опоры хомутовые бескорпусные	25.11.23.119	3012	Применение	Строковый								
53683	1146886	1146880	Опоры хомутовые бескорпусные	25.11.23.119	252567	Описание	Строковый								
53683	1146886	1146880	Опоры хомутовые бескорпусные	25.11.23.119	270186	Стандарт	Строковый								
53683	1146886	1146880	Опоры хомутовые бескорпусные	25.11.23.119	281585	ТУ	Строковый								
53674	1146887	1146880	Опоры вертикальных трубопроводов приварные	25.11.23.119	3013	Тип	Строковый								
53674	1146887	1146880	Опоры вертикальных трубопроводов приварные	25.11.23.119	3014	Обозначение	Строковый								
53674	1146887	1146880	Опоры вертикальных трубопроводов приварные	25.11.23.119	3015	Применение	Строковый								
53673	1146888	1146880	Опоры катковые направляющие	25.11.23.119	3016	Тип	Строковый								
53673	1146888	1146880	Опоры катковые направляющие	25.11.23.119	3017	Обозначение	Строковый								
53673	1146888	1146880	Опоры катковые направляющие	25.11.23.119	3018	Применение	Строковый								
53681	1146889	1146880	Опоры подвижные (приварные, хомутовые, бескорпусные)	25.11.23.119	234112	Вид	Строковый								
53681	1146889	1146880	Опоры подвижные (приварные, хомутовые, бескорпусные)	25.11.23.119	238132	Тип	Строковый								
53681	1146889	1146880	Опоры подвижные (приварные, хомутовые, бескорпусные)	25.11.23.119	234111	Обозначение	Строковый								
53681	1146889	1146880	Опоры подвижные (приварные, хомутовые, бескорпусные)	25.11.23.119	234110	Диаметр наружный	Строковый								
53681	1146889	1146880	Опоры подвижные (приварные, хомутовые, бескорпусные)	25.11.23.119	234109	Материал	Строковый								
